_id	OPERADOR	DENOMINACIÓN	TIPO DE OPERADOR	MACRODISTRITO	PLACA	TIPO	MARCA	COLOR
4753	Radio Taxi	TRANS SERVICE SOLSTICIO	Empresa	MACRODISTRITO 2 MAXIMILIANO PAREDES-CHAMOCO CHICO	4423PYH	radio taxi	FIAT	PLATA
4754	Radio Taxi	SERVIVALLE DEL SUR S.R.L.	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	4724IXU	CELERIO	SUZUKI	AZUL METALICO
4755	RADIO TAXI	AXCELBO	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	2456XUS	SIENTA	TOYOTA	PLATEADO
4756	Radio Taxi	TRANS SERVICE SOLSTICIO	Empresa	MACRODISTRITO 2 MAXIMILIANO PAREDES-CHAMOCO CHICO	677YAT	corolla	TOYOTA	GRIS
4757	Radio Taxi	RADIO MOVIL CHUQUIAGO	Empresa	MACRODISTRITO 3 PERIFERICA-BARRIO GRAFICO	3992DNK	swift	SUZUKI	ROJO
4758	Radio Taxi	RADIO TAXI SERVISUR L.P. LTDA.	Empresa	MACRODISTRITO 5 SUR-COTA COTA	5173ZGT	BALENO	SUZUKI	GRIS
4759	Radio Taxi	RADIO MOVIL ROSARIO DE GAVIOTAS SERVICE	Empresa	MACRODISTRITO 1 COTAHUMA-8 DE DICIEMBRE	2193FCE	sprinter carib	TOYOTA	BURDEO
4760	Radio Taxi	RADIO MOVIL ROSARIO DE GAVIOTAS SERVICE	Empresa	MACRODISTRITO 1 COTAHUMA-8 DE DICIEMBRE	2148CPC	sprinter	TOYOTA	PLATEADO
4761	Radio Taxi	ASOCIACIÓN DE TRANSPORTISTAS PULPOS DEL SUR	Asociación	MACRODISTRITO 5 SUR-ALTO ACHUMANI	5570YUU	750	-	GRIS
4762	Radio Taxi	RMOVIL BOLIVIA TOURS	Empresa	MACRODISTRITO 2 MAXIMILIANO PAREDES-CHAMOCO CHICO	5634DAF	EX80	KEYTON	PLATA
4763	Radio Taxi	RADIO MOVIL CRISTO REY	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	2746HBU	SPRINTER	TOYOTA	BLANCO
4764	Radio Taxi	SERVIVALLE DEL SUR S.R.L.	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	1803YDU	sprinter carib	TOYOTA	PLATEADO
4765	Radio Taxi	RADIO MOVIL CRISTO REY	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	2592CUL	SPRINTER carib	TOYOTA	PLATEADO
4766	Radio Taxi	MAXI TAXI	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES BAJO	5755ZLD	K60	CHERY	PLATA
4767	Radio Taxi	SERVIVALLE DEL SUR S.R.L.	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	1597KFY	CALDINA	TOYOTA	PLOMO
4768	Radio Taxi	ZABALA MAGISTRADO - VIP	Empresa	MACRODISTRITO 3 PERIFERICA-MIRAFLORES ALTO (PERIFERICA)	1798ZZH	CALDINA	TOYOTA	VERDE
4769	RADIO TAXI	AXCELBO	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	1415RDD	DEMIO	MAZDA	PLOMO
4770	RADIO TAXI	AXCELBO	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	4037ERK	CELERIO	SUZUKI	BLANCO PERLA
4771	Radio Taxi	CALL CAR BOLIVAR DEL SUR	Empresa	MACRODISTRITO 5 SUR-ALTO ACHUMANI	5753YUG	Vagoneta	CHANGAN	BLANCO
4772	Radio Taxi	RADIO MOVIL ROSARIO DE GAVIOTAS SERVICE	Empresa	MACRODISTRITO 1 COTAHUMA-8 DE DICIEMBRE	1536RBG	sprinter	TOYOTA	PLATEADO
